time: 4.199883460998535, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 296, Controller Size: 180
time: 4.199899435043335, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 296, Controller Size: 180
time: 4.202925682067871, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 296, Controller Size: 180
time: 4.462449789047241, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 300, Controller Size: 186
time: 4.462500810623169, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 300, Controller Size: 186
time: 4.4655396938323975, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 300, Controller Size: 186
time: 4.62746262550354, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 307, Controller Size: 193
time: 4.627479791641235, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 307, Controller Size: 193
time: 4.630819797515869, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 307, Controller Size: 193
time: 4.794477701187134, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 314, Controller Size: 200
time: 4.794509649276733, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 314, Controller Size: 200
time: 4.797997713088989, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 314, Controller Size: 200
time: 5.131568908691406, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 322, Controller Size: 207
time: 5.131613731384277, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 322, Controller Size: 207
time: 5.1350297927856445, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 322, Controller Size: 207
time: 5.299003601074219, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 329, Controller Size: 214
time: 5.2990217208862305, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 329, Controller Size: 214
time: 5.302687644958496, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 329, Controller Size: 214
time: 5.443623781204224, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 333, Controller Size: 220
time: 5.4436376094818115, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 333, Controller Size: 220
time: 5.447396755218506, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 333, Controller Size: 220
time: 5.578673601150513, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 340, Controller Size: 226
time: 5.578693628311157, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 340, Controller Size: 226
time: 5.582681655883789, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 340, Controller Size: 226
time: 5.940348863601685, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 344, Controller Size: 232
time: 5.940396785736084, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 344, Controller Size: 232
time: 5.9442548751831055, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 344, Controller Size: 232
time: 6.069521903991699, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 346, Controller Size: 238
time: 6.069536924362183, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 346, Controller Size: 238
time: 6.073533773422241, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 346, Controller Size: 238
time: 6.20433783531189, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 352, Controller Size: 244
time: 6.204354763031006, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 352, Controller Size: 244
time: 6.208570718765259, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 352, Controller Size: 244
time: 6.3403637409210205, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 359, Controller Size: 250
time: 6.340379953384399, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 359, Controller Size: 250
time: 6.344578742980957, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 359, Controller Size: 250
time: 6.73736572265625, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 365, Controller Size: 256
time: 6.737421751022339, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 365, Controller Size: 256
time: 6.741596698760986, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 365, Controller Size: 256
time: 6.861271858215332, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 368, Controller Size: 262
time: 6.861294746398926, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 368, Controller Size: 262
time: 6.8656885623931885, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 368, Controller Size: 262
time: 6.986232757568359, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 371, Controller Size: 268
